y	x	key	showSelected1	group
2.97520661157025	180	187	187	-1
2.99173553719008	181	187	187	-1
2.98360655737705	182	187	187	-1
2.97560975609756	183	187	187	-1
2.99186991869919	184	187	187	-1
2.98387096774194	185	187	187	-1
3	186	187	187	-1
3.01612903225806	187	187	187	-1
2	1	188	188	-1
2	2	188	188	-1
3	3	188	188	-1
4	4	188	188	-1
5	5	188	188	-1
6	6	188	188	-1
4.66666666666667	7	188	188	-1
4	8	188	188	-1
4.5	9	188	188	-1
4	10	188	188	-1
3.66666666666667	11	188	188	-1
3.42857142857143	12	188	188	-1
3.25	13	188	188	-1
3.11111111111111	14	188	188	-1
3.33333333333333	15	188	188	-1
3.2	16	188	188	-1
3.09090909090909	17	188	188	-1
3.27272727272727	18	188	188	-1
3.16666666666667	19	188	188	-1
3.33333333333333	20	188	188	-1
3.5	21	188	188	-1
3.66666666666667	22	188	188	-1
3.83333333333333	23	188	188	-1
3.69230769230769	24	188	188	-1
3.57142857142857	25	188	188	-1
3.71428571428571	26	188	188	-1
3.6	27	188	188	-1
3.5	28	188	188	-1
3.41176470588235	29	188	188	-1
3.33333333333333	30	188	188	-1
3.26315789473684	31	188	188	-1
3.2	32	188	188	-1
3.3	33	188	188	-1
3.23809523809524	34	188	188	-1
3.18181818181818	35	188	188	-1
3.1304347826087	36	188	188	-1
3.21739130434783	37	188	188	-1
3.16666666666667	38	188	188	-1
3.12	39	188	188	-1
3.2	40	188	188	-1
3.15384615384615	41	188	188	-1
3.23076923076923	42	188	188	-1
3.18518518518519	43	188	188	-1
3.14285714285714	44	188	188	-1
3.21428571428571	45	188	188	-1
3.17241379310345	46	188	188	-1
3.13333333333333	47	188	188	-1
3.09677419354839	48	188	188	-1
3.0625	49	188	188	-1
3.125	50	188	188	-1
3.1875	51	188	188	-1
3.15151515151515	52	188	188	-1
3.11764705882353	53	188	188	-1
3.08571428571429	54	188	188	-1
3.05555555555556	55	188	188	-1
3.11111111111111	56	188	188	-1
3.08108108108108	57	188	188	-1
3.05263157894737	58	188	188	-1
3.02564102564103	59	188	188	-1
3	60	188	188	-1
2.97560975609756	61	188	188	-1
2.95238095238095	62	188	188	-1
2.93023255813954	63	188	188	-1
2.97674418604651	64	188	188	-1
3.02325581395349	65	188	188	-1
3	66	188	188	-1
2.97777777777778	67	188	188	-1
2.95652173913043	68	188	188	-1
3	69	188	188	-1
3.04347826086957	70	188	188	-1
3.02127659574468	71	188	188	-1
3.06382978723404	72	188	188	-1
3.04166666666667	73	188	188	-1
3.02040816326531	74	188	188	-1
3.06122448979592	75	188	188	-1
3.04	76	188	188	-1
3.01960784313726	77	188	188	-1
3	78	188	188	-1
3.03846153846154	79	188	188	-1
3.07692307692308	80	188	188	-1
3.11538461538462	81	188	188	-1
3.15384615384615	82	188	188	-1
3.13207547169811	83	188	188	-1
3.11111111111111	84	188	188	-1
3.14814814814815	85	188	188	-1
3.18518518518519	86	188	188	-1
3.16363636363636	87	188	188	-1
3.14285714285714	88	188	188	-1
3.17857142857143	89	188	188	-1
3.21428571428571	90	188	188	-1
3.19298245614035	91	188	188	-1
3.2280701754386	92	188	188	-1
3.20689655172414	93	188	188	-1
3.1864406779661	94	188	188	-1
3.16666666666667	95	188	188	-1
3.14754098360656	96	188	188	-1
3.12903225806452	97	188	188	-1
3.11111111111111	98	188	188	-1
3.09375	99	188	188	-1
3.07692307692308	100	188	188	-1
3.06060606060606	101	188	188	-1
3.04477611940299	102	188	188	-1
3.07462686567164	103	188	188	-1
3.1044776119403	104	188	188	-1
3.13432835820896	105	188	188	-1
3.16417910447761	106	188	188	-1
3.14705882352941	107	188	188	-1
3.1304347826087	108	188	188	-1
3.11428571428571	109	188	188	-1
3.09859154929577	110	188	188	-1
3.08333333333333	111	188	188	-1
3.06849315068493	112	188	188	-1
3.0958904109589	113	188	188	-1
3.08108108108108	114	188	188	-1
3.10810810810811	115	188	188	-1
3.13513513513514	116	188	188	-1
3.12	117	188	188	-1
3.10526315789474	118	188	188	-1
3.13157894736842	119	188	188	-1
3.11688311688312	120	188	188	-1
3.14285714285714	121	188	188	-1
3.12820512820513	122	188	188	-1
3.11392405063291	123	188	188	-1
3.13924050632911	124	188	188	-1
3.125	125	188	188	-1
3.11111111111111	126	188	188	-1
3.09756097560976	127	188	188	-1
3.08433734939759	128	188	188	-1
3.10843373493976	129	188	188	-1
3.0952380952381	130	188	188	-1
3.08235294117647	131	188	188	-1
3.06976744186047	132	188	188	-1
3.09302325581395	133	188	188	-1
3.08045977011494	134	188	188	-1
3.06818181818182	135	188	188	-1
3.0561797752809	136	188	188	-1
3.04444444444444	137	188	188	-1
3.03296703296703	138	188	188	-1
3.05494505494505	139	188	188	-1
3.07692307692308	140	188	188	-1
3.06521739130435	141	188	188	-1
3.08695652173913	142	188	188	-1
3.10869565217391	143	188	188	-1
3.09677419354839	144	188	188	-1
3.08510638297872	145	188	188	-1
3.1063829787234	146	188	188	-1
3.09473684210526	147	188	188	-1
3.11578947368421	148	188	188	-1
3.10416666666667	149	188	188	-1
3.09278350515464	150	188	188	-1
3.08163265306122	151	188	188	-1
3.07070707070707	152	188	188	-1
3.06	153	188	188	-1
3.04950495049505	154	188	188	-1
3.06930693069307	155	188	188	-1
3.05882352941176	156	188	188	-1
3.07843137254902	157	188	188	-1
3.06796116504854	158	188	188	-1
3.05769230769231	159	188	188	-1
3.04761904761905	160	188	188	-1
3.0377358490566	161	188	188	-1
3.02803738317757	162	188	188	-1
3.01851851851852	163	188	188	-1
3.00917431192661	164	188	188	-1
3	165	188	188	-1
3.01818181818182	166	188	188	-1
3.00900900900901	167	188	188	-1
3	168	188	188	-1
2.99115044247788	169	188	188	-1
2.98245614035088	170	188	188	-1
2.97391304347826	171	188	188	-1
2.99130434782609	172	188	188	-1
3.00869565217391	173	188	188	-1
3	174	188	188	-1
2.99145299145299	175	188	188	-1
2.98305084745763	176	188	188	-1
3	177	188	188	-1
2.99159663865546	178	188	188	-1
2.98333333333333	179	188	188	-1
2.97520661157025	180	188	188	-1
2.99173553719008	181	188	188	-1
2.98360655737705	182	188	188	-1
2.97560975609756	183	188	188	-1
2.99186991869919	184	188	188	-1
2.98387096774194	185	188	188	-1
3	186	188	188	-1
3.01612903225806	187	188	188	-1
3.03225806451613	188	188	188	-1
